"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 14:42:28 CEST 2026","Fri Sep 04 14:43:02 CEST 2026","34554","Drest Test Suite","Tests Drest.tn","Tests.SearchTest","Tests.SearchTest","testRechercheVideSansResultat","testRechercheVideSansResultat","Vérifie qu'une recherche avec un mot inexistant affiche un message d'absence de résultats"
"passed","Fri Sep 04 14:40:10 CEST 2026","Fri Sep 04 14:40:10 CEST 2026","108","Drest Test Suite","Tests Drest.tn","Tests.HomePageTest","Tests.HomePageTest","testMenuPrincipalPresent","testMenuPrincipalPresent","Vérifie que les menus principaux Femme, Homme et Enfants sont visibles"
"passed","Fri Sep 04 14:40:18 CEST 2026","Fri Sep 04 14:40:18 CEST 2026","15","Drest Test Suite","Tests Drest.tn","Tests.HomePageTest","Tests.HomePageTest","testTitrePage","testTitrePage","Vérifie que le titre de la page d'accueil contient 'Drest'"
"broken","Fri Sep 04 14:41:28 CEST 2026","Fri Sep 04 14:41:38 CEST 2026","10019","Drest Test Suite","Tests Drest.tn","Tests.NavigationTest","Tests.NavigationTest","testNavigationSport","testNavigationSport","Vérifie que le clic sur le menu Sport redirige vers la page sport"
"passed","Fri Sep 04 14:47:51 CEST 2026","Fri Sep 04 14:49:04 CEST 2026","73459","Drest Test Suite","Tests Drest.tn","Tests.CartTest","Tests.CartTest","testPanierNonVideApresAjout","testPanierNonVideApresAjout","Vérifie que le panier contient bien le produit ajouté et n'est pas vide"
"passed","Fri Sep 04 14:55:43 CEST 2026","Fri Sep 04 14:59:28 CEST 2026","225381","Drest Test Suite","Tests Drest.tn","Tests.E2ETest","Tests.E2ETest","testParcourAchatComplet","testParcourAchatComplet","E2E OK - Connexion → Navigation → Ajout panier → Checkout"
"passed","Fri Sep 04 14:44:51 CEST 2026","Fri Sep 04 14:45:28 CEST 2026","37642","Drest Test Suite","Tests Drest.tn","Tests.CartTest","Tests.CartTest","testAjoutAuPanier","testAjoutAuPanier","Vérifie qu'un produit peut être ajouté au panier depuis la page catégorie"
"passed","Fri Sep 04 14:40:01 CEST 2026","Fri Sep 04 14:40:02 CEST 2026","177","Drest Test Suite","Tests Drest.tn","Tests.HomePageTest","Tests.HomePageTest","testLogoPresent","testLogoPresent","Vérifie que le logo Drest est visible sur la page d'accueil"
"passed","Fri Sep 04 15:00:43 CEST 2026","Fri Sep 04 15:01:47 CEST 2026","64596","Drest Test Suite","Tests Drest.tn","Tests.E2ETest","Tests.E2ETest","testParcourNavigationRecherche","testParcourNavigationRecherche","E2E - Navigation menu → Recherche produit → Consultation fiche produit"
"passed","Fri Sep 04 14:59:37 CEST 2026","Fri Sep 04 15:00:34 CEST 2026","56921","Drest Test Suite","Tests Drest.tn","Tests.E2ETest","Tests.E2ETest","testParcourConnexionInvalide","testParcourConnexionInvalide","E2E KO - Tentative connexion avec mauvais identifiants"
"passed","Fri Sep 04 14:40:26 CEST 2026","Fri Sep 04 14:40:26 CEST 2026","11","Drest Test Suite","Tests Drest.tn","Tests.HomePageTest","Tests.HomePageTest","testURLCorrecte","testURLCorrecte","Vérifie que l'URL de la page d'accueil contient 'drest.tn'"
"passed","Fri Sep 04 14:55:03 CEST 2026","Fri Sep 04 14:55:34 CEST 2026","31076","Drest Test Suite","Tests Drest.tn","Tests.LoginTest","Tests.LoginTest","testPageLoginCharge","testPageLoginCharge","Vérifie que la page de connexion charge correctement"
"passed","Fri Sep 04 14:43:10 CEST 2026","Fri Sep 04 14:43:30 CEST 2026","19454","Drest Test Suite","Tests Drest.tn","Tests.ProductTest","Tests.ProductTest","testClicProduitEtTitre","testClicProduitEtTitre","Vérifie que le titre du produit est visible et non vide sur la page détail"
"broken","Fri Sep 04 14:45:42 CEST 2026","Fri Sep 04 14:47:42 CEST 2026","120017","Drest Test Suite","Tests Drest.tn","Tests.CartTest","Tests.CartTest","testPagePanierCharge","testPagePanierCharge","Vérifie que la page panier se charge correctement"
"passed","Fri Sep 04 14:49:16 CEST 2026","Fri Sep 04 14:50:15 CEST 2026","59169","Drest Test Suite","Tests Drest.tn","Tests.LoginTest","Tests.LoginTest","testConnexionEmailFormatInvalide","testConnexionEmailFormatInvalide","KO - Vérifie qu'une erreur s'affiche avec un email au format incorrect"
